Run,international_trade,max_eff,eutax,neighbor_influence,tax_influence,member_trade_multiplier,tax_distribution,member_count,other_count,average_cooperativeness,other_wealth,total_wealth,member_wealth,other_eff,total_eff,member_eff,gini_coefficient,stdev_agent_cooperativeness
4656,False,1.2236328125,0.139306640625,0.02724609375,0.17294921875000002,1.930712890625,0.8326171875,179.0,141.0,0.119061279296875,35067.97192618005,29823.045404758865,25691.56697168407,2.4746059453244142,1.5423802820523007,0.808057273553038,0.211905211780603,0.9858363866684009
5238,False,1.3955078125,0.276025390625,0.09443359375,0.16513671875000002,1.526806640625,0.8751953125,83.0,237.0,-0.48125,31604.939608757442,27911.452068131322,17364.987644897716,2.167157882060198,1.7196731948653983,0.4419157145621743,0.4002774263520379,0.8765833887885396
2619,False,0.2333984375,0.435693359375,0.06865234375,0.18369140625,1.850146484375,0.8494140625000001,320.0,0.0,1.0,0.0,35615.459064480514,35615.459064480514,0.0,1.5168075332418702,1.5168075332418702,0.0013800342382019814,0.0
5529,False,0.5439453125,0.406884765625,0.10458984375,0.13154296875000002,1.470947265625,0.8216796875000001,74.0,246.0,-0.5323626708984375,27354.180284863243,26431.771614882862,23365.386036299435,1.7163160086759104,1.5123818075557025,0.8344383822101464,0.1344001249321687,0.8388196363618687
2910,False,0.7490234375,0.478662109375,0.14150390625,0.10712890625,1.893115234375,0.8099609375000001,277.0,43.0,0.7350524902343755,26092.948677809556,34647.152312210805,35975.06117964493,1.629460743218953,1.5451820329173693,1.5320990562279537,0.08086860761123217,0.6461108999674594
4365,False,1.3798828125,0.568994140625,0.19287109375,0.08857421875,1.003662109375,1.0388671875,108.0,212.0,-0.35295623779296786,128720.1284562142,13630987283.156643,40387857795.767525,1.6652280467924692,1.6230521067442325,1.5402622985013976,1.9706646785416864,0.9066342264324666
6111,False,1.7158203125,0.403955078125,0.15908203125,0.15205078125000002,1.188427734375,0.8080078125000001,244.0,76.0,0.5055184936523437,31051.426511457932,30063.39935075151,29755.653185941315,2.085816916533419,1.837729820346879,1.7604567903871369,0.15633837484400298,0.7963758917651431
1746,False,1.5419921875,0.286279296875,0.13408203125,0.17158203125000002,0.967138671875,1.1111328125,0.0,320.0,-1.0,27182.735923518852,27182.735923518852,0.0,1.7010766497563832,1.7010766497563832,0.0,0.4866314491976552,0.0
3492,False,0.5849609375,0.105615234375,0.14697265625,0.15810546875,0.995068359375,1.1603515625,0.0,320.0,-1.0,24259.840738544382,24259.840738544382,0.0,1.458427239304051,1.458427239304051,0.0,0.2602943237818964,0.0
582,False,0.1591796875,0.280419921875,0.14892578125,0.06923828125,1.873779296875,0.9873046875,257.0,63.0,0.6198812866210928,25009.562934258975,33370.14250922853,35419.62310542729,1.5317370418332048,1.5220867611012256,1.5197211280813243,0.11473291680944142,0.7677424204195445
